品牌,貨品,URL,更新日期
快潔 Fab,洗衣粉 - 抗菌 (檸檬清香) (補充裝) 2公斤,https://online-price-watch.consumer.org.hk/opw/product/P000001386,
斧頭牌 Axe,洗潔精 (維他命E檸檬護膚) 1.3公斤,https://online-price-watch.consumer.org.hk/opw/product/P000000068,
維達 Vinda,"超韌純滑 (1600克, VC4483) 4層衛生紙 10卷裝",https://online-price-watch.consumer.org.hk/opw/product/P000002033,
皇冠 Andrex,3層衛生紙 (純白) 10卷裝,https://online-price-watch.consumer.org.hk/opw/product/P000000006,
滴露 Dettol,金裝經典保護抗菌沐浴露 625克,https://online-price-watch.consumer.org.hk/opw/product/P000002703,
金象牌 Golden Elephant Brand,頂上茉莉香米 8公斤,https://online-price-watch.consumer.org.hk/opw/product/P000000154,
長城牌 Greatwall,火腿豬肉 198克,https://online-price-watch.consumer.org.hk/opw/product/p000000669,
超力 Chewy,銀絲米粉 - 金牌原味 65克,https://online-price-watch.consumer.org.hk/opw/product/P000003001,
嘉頓 Garden,生命麵包 14片,https://online-price-watch.consumer.org.hk/opw/product/P000000811,
維記 Kowloon Dairy,鮮牛奶 946毫升,https://online-price-watch.consumer.org.hk/opw/product/P000000891,
正大 CP,泰國精選新鮮雞蛋 - 大 (L) 12隻,https://online-price-watch.consumer.org.hk/opw/product/P000001097,
刀嘜 Knife,純正花生油 900毫升 x 3,https://online-price-watch.consumer.org.hk/opw/product/P000000541,
甘竹牌 Ganzhu Brand,豆豉鯪魚 227克,https://online-price-watch.consumer.org.hk/opw/product/P000001171,
雄雞標 Ayam Brand,番茄汁焗豆 425克,https://online-price-watch.consumer.org.hk/opw/product/P000001213,
公仔 Doll,公仔麵 - 雞蓉味 103克 x 5,https://online-price-watch.consumer.org.hk/opw/product/P000000300,
家樂牌 Knorr,快熟通心粉 - 鮮雞湯 80克,https://online-price-watch.consumer.org.hk/opw/product/P000000058,
日清 Nissin,出前一丁即食麵 - 麻油味 100克 x 5,https://online-price-watch.consumer.org.hk/opw/product/P000001128,
百福 Pak Fook,蒸煮滑豆腐 350毫升,https://online-price-watch.consumer.org.hk/opw/product/P000000929,
美國太陽牌 Sunland,高級雞肉腸 340克,https://online-price-watch.consumer.org.hk/opw/product/P000001441,
金妹牌 Maid Brand,火腿片 200克,https://online-price-watch.consumer.org.hk/opw/product/P000000543,
樂事 Lay's ,原味薯片 Classic 184.2克,https://online-price-watch.consumer.org.hk/opw/product/P000000288,
利賓納 Ribena ,黑加侖子軟糖 30粒裝 60克,https://online-price-watch.consumer.org.hk/opw/product/P000000187,
彩虹 Skittles,果汁糖 45克,https://online-price-watch.consumer.org.hk/opw/product/P000001330,
四洲 Four Seas,紫菜 (原味) 24小包 18克,https://online-price-watch.consumer.org.hk/opw/product/P000002655,
丹麥藍罐 Kjeldsens,牛油曲奇 90克,https://online-price-watch.consumer.org.hk/opw/product/P000000967,
嘉頓 Garden,檸檬夾心餅 175克,https://online-price-watch.consumer.org.hk/opw/product/P000001415,
維他奶 山水 Vitasoy San Sui,豆腐花 350克,https://online-price-watch.consumer.org.hk/opw/product/P000000951,
明輝 Brilliant,印尼蝦片 (原味) 80克,https://online-price-watch.consumer.org.hk/opw/product/P000003436,
卡樂B Calbee,燒烤味粟一燒 (香脆粟米條) 80克,https://online-price-watch.consumer.org.hk/opw/product/P000000024,
旺旺 Want Want,燒米餅 72克,https://online-price-watch.consumer.org.hk/opw/product/P000000070,
江戶 EDO Pack Haitai ,芝士餅 172克,https://online-price-watch.consumer.org.hk/opw/product/P000000258,
大排檔 Dai Pai Dong,原味奶茶3合1 - 17克 x 10,https://online-price-watch.consumer.org.hk/opw/product/P000000694,
雀巢咖啡 Nestle Nescafe ,罐裝咖啡 - 香滑 250毫升 x 6,https://online-price-watch.consumer.org.hk/opw/product/P000002166,
道地 Tao Ti,蘋果味綠茶 250毫升 x 6,https://online-price-watch.consumer.org.hk/opw/product/P000000684,
雀巢茶品 Nestea,檸檬茶 250毫升 x 6,https://online-price-watch.consumer.org.hk/opw/product/P000001086,
果汁先生 Mr Juicy,富士蘋果汁飲品 1公升 (膠樽裝),https://online-price-watch.consumer.org.hk/opw/product/P000000718,
七喜 7 Up,七喜 - 罐裝 330毫升 x 8,https://online-price-watch.consumer.org.hk/opw/product/P000000002,
喜力 Heineken,啤酒 - 罐裝 330毫升 x 6,https://online-price-watch.consumer.org.hk/opw/product/P000001276,
朝日 Asahi,啤酒 - 罐裝 330毫升 x 6,https://online-price-watch.consumer.org.hk/opw/product/P000000266,
立頓 Lipton,茉莉花茶茶包 x 25,https://online-price-watch.consumer.org.hk/opw/product/P000000695,